--- Table: payments ---
Field: id | Type: int(10) unsigned | Null: NO | Key: PRI | Default: 
Field: assignment_id | Type: int(10) unsigned | Null: NO | Key: MUL | Default: 
Field: amount | Type: decimal(10,2) | Null: NO | Key:  | Default: 
Field: plan_type | Type: enum('Monthly','Yearly') | Null: YES | Key:  | Default: Monthly
Field: payment_date | Type: date | Null: NO | Key:  | Default: 
Field: due_date | Type: date | Null: NO | Key:  | Default: 
Field: payment_mode | Type: enum('Cash','UPI','NetBanking','Card','Cheque') | Null: YES | Key:  | Default: Cash
Field: status | Type: enum('Paid','Pending','Overdue') | Null: YES | Key:  | Default: Pending
Field: transaction_id | Type: varchar(80) | Null: YES | Key:  | Default: 
Field: invoice_no | Type: varchar(40) | Null: YES | Key:  | Default: 
Field: receipt_file_path | Type: varchar(255) | Null: YES | Key:  | Default: 
Field: remarks | Type: varchar(255) | Null: YES | Key:  | Default: 
Field: created_at | Type: timestamp | Null: NO | Key:  | Default: current_timestamp()

--- Table: lockers ---
Field: id | Type: int(10) unsigned | Null: NO | Key: PRI | Default: 
Field: locker_no | Type: varchar(20) | Null: NO | Key: UNI | Default: 
Field: size | Type: enum('Small','Medium','Large') | Null: NO | Key:  | Default: Small
Field: rent_amount | Type: decimal(10,2) | Null: NO | Key:  | Default: 0.00
Field: status | Type: enum('Available','Occupied','Maintenance') | Null: NO | Key:  | Default: Available
Field: location | Type: varchar(100) | Null: YES | Key:  | Default: Branch A
Field: description | Type: text | Null: YES | Key:  | Default: 
Field: created_at | Type: timestamp | Null: NO | Key:  | Default: current_timestamp()
Field: updated_at | Type: timestamp | Null: NO | Key:  | Default: current_timestamp()

--- Table: locker_assignments ---
Field: id | Type: int(10) unsigned | Null: NO | Key: PRI | Default: 
Field: locker_id | Type: int(10) unsigned | Null: NO | Key: MUL | Default: 
Field: customer_id | Type: int(10) unsigned | Null: NO | Key: MUL | Default: 
Field: assigned_by | Type: int(10) unsigned | Null: NO | Key: MUL | Default: 
Field: start_date | Type: date | Null: NO | Key:  | Default: 
Field: end_date | Type: date | Null: YES | Key:  | Default: 
Field: is_active | Type: tinyint(1) | Null: NO | Key:  | Default: 1
Field: notes | Type: text | Null: YES | Key:  | Default: 
Field: locker_password | Type: varchar(20) | Null: YES | Key:  | Default: 
Field: created_at | Type: timestamp | Null: NO | Key:  | Default: current_timestamp()

